1	9.2	Skazani na Shawshank (1994)	596,718
2	9.2	Ojciec chrzestny (1972)	460,927
3	9.0	Ojciec chrzestny II (1974)	281,735
4	8.9	Dobry, zly i brzydki (1966)	188,534
5	8.9	Pulp Fiction (1994)	473,995
6	8.9	Dwunastu gniewnych ludzi (1957)	142,413
7	8.9	Lista Schindlera (1993)	315,264
8	8.8	Lot nad kukulczym gniazdem (1975)	246,786
9	8.8	Incepcja (2010)	354,293
10	8.8	Mroczny rycerz (2008)	533,121
11	8.8	Gwiezdne wojny, czesc V: Imperium kontratakuje (1980)	311,127
12	8.8	Wladca pierscieni: Powrót króla (2003)	413,506
13	8.8	Siedmiu samurajów (1954)	109,014
14	8.8	Podziemny krag (1999)	441,041
15	8.7	Chlopcy z ferajny (1990)	261,669
16	8.7	Gwiezdne wojny (1977)	354,811
17	8.7	Casablanca (1942)	185,445
18	8.7	Wladca pierscieni: Druzyna pierscienia (2001)	436,199
19	8.7	Miasto Boga (2002)	193,192
20	8.7	Pewnego razu na Dzikim Zachodzie (1968)	86,681
21	8.7	Okno na podwórze (1954)	134,048
22	8.7	Poszukiwacze zaginionej arki (1981)	270,232
23	8.7	Matrix (1999)	433,067
24	8.7	Psychoza (1960)	163,297
25	8.7	Podejrzani (1995)	298,150
26	8.7	Milczenie owiec (1991)	282,434
27	8.6	Siedem (1995)	324,012
28	8.6	To wspaniale zycie (1946)	115,103
29	8.6	Memento (2000)	314,718
30	8.6	Wladca pierscieni: Dwie wieze (2002)	369,781
31	8.6	Forrest Gump (1994)	352,541
32	8.6	Bulwar Zachodzacego Slonca (1950)	62,674
33	8.6	Leon zawodowiec (1994)	234,884
34	8.6	Toy Story 3 (2010)	131,494
35	8.6	Dr Strangelove, czyli jak przestalem sie martwic i pokochalem bombe (1964)	171,083
36	8.6	Czas Apokalipsy (1979)	193,463
37	8.6	Obywatel Kane (1941)	151,505
38	8.5	Wiezien nienawisci (1998)	259,697
39	8.5	Pólnoc, pólnocny zachód (1959)	103,942
40	8.5	American Beauty (1999)	328,330
41	8.5	Taksówkarz (1976)	180,189
42	8.5	Terminator 2: Dzien sadu (1991)	270,790
43	8.5	Szeregowiec Ryan (1998)	306,350
44	8.5	Obcy - 8. pasazer Nostromo (1979)	203,333
45	8.5	Zawrót glowy (1958)	102,924
46	8.5	Amelia (2001)	208,147
47	8.5	Spirited Away: W krainie bogów (2001)	120,082
48	8.5	Lsnienie (1980)	204,804
49	8.5	Sciezki chwaly (1957)	51,065
50	8.5	WALL·E (2008)	218,273
51	8.5	Swiatla wielkiego miasta (1931)	33,573
52	8.5	Pianista (2002)	156,662
53	8.5	Podwójne ubezpieczenie (1944)	42,392
54	8.5	Lawrence z Arabii (1962)	87,712
55	8.5	M - morderca (1931)	45,211
56	8.5	Mechaniczna pomarancza (1971)	218,270
57	8.5	Zycie na podsluchu (2006)	88,606
58	8.4	Infiltracja (2006)	303,765
59	8.4	Zabic drozda (1962)	91,629
60	8.4	Obcy - decydujace starcie (1986)	189,347
61	8.4	Zakochany bez pamieci (2004)	251,448
62	8.4	Requiem dla snu (2000)	213,530
63	8.4	Okret (1981)	77,343
64	8.4	Dzisiejsze czasy (1936)	41,995
65	8.4	Wsciekle psy (1992)	239,346
66	8.4	Trzeci czlowiek (1949)	56,232
67	8.4	Tajemnice Los Angeles (1997)	182,005
68	8.4	Zycie jest piekne (1997)	126,523
69	8.4	Chinatown (1974)	88,358
70	8.4	Powrót do przyszlosci (1985)	235,119
71	8.4	Skarb Sierra Madre (1948)	37,219
72	8.4	Prestiz (2006)	246,723
73	8.4	Monty Python i swiety Graal (1975)	171,390
74	8.4	Cinema Paradiso (1988)	52,494
75	8.4	Wsciekly byk (1980)	101,273
76	8.3	Zielona mila (1999)	233,184
77	8.3	Labirynt fauna (2006)	179,217
78	8.3	Dawno temu w Ameryce (1984)	82,558
79	8.3	Deszczowa piosenka (1952)	61,952
80	8.3	Rashomon (1950)	44,956
81	8.3	Pól zartem, pól serio (1959)	75,524
82	8.3	Amadeusz (1984)	109,736
83	8.3	Most na rzece Kwai (1957)	65,590
84	8.3	Wszystko o Ewie (1950)	38,838
85	8.3	Zlodzieje rowerów (1948)	32,176
86	8.3	Full Metal Jacket (1987)	173,415
87	8.3	Dyktator (1940)	43,076
88	8.3	2001: Odyseja kosmiczna (1968)	178,366
89	8.3	Czarny labedz (2010)	130,932
90	8.3	Braveheart - Waleczne serce (1995)	271,955
91	8.3	Garsoniera (1960)	41,479
92	8.3	Bekarty wojny (2009)	226,802
93	8.3	Gladiator (2000)	321,191
94	8.3	Metropolis (1927)	45,644
95	8.3	Upadek (2004)	95,380
96	8.3	Oldboy (2003)	114,387
97	8.3	Bez przebaczenia (1992)	112,842
98	8.3	Odlot (2009)	147,857
99	8.3	Zadlo (1973)	74,046
100	8.3	Gran Torino (2008)	159,391
101	8.3	Czlowiek slon (1980)	66,583
102	8.3	Mr. Smith jedzie do Waszyngtonu (1939)	37,041
103	8.3	Sokól maltanski (1941)	56,790
104	8.3	Gwiezdne wojny, czesc VI: Powrót Jedi (1983)	235,058
105	8.3	Na nabrzezach (1954)	46,140
106	8.3	Indiana Jones i ostatnia krucjata (1989)	191,390
107	8.3	Rebeka (1940)	39,282
108	8.3	Sin City: Miasto grzechu (2005)	286,059
109	8.3	Ksiezniczka Mononoke (1997)	75,145
110	8.3	Szklana pulapka (1988)	206,584
111	8.3	Wielka ucieczka (1963)	69,729
112	8.3	Siódma pieczec (1957)	43,088
113	8.3	Jak zostac królem (2010)	85,286
114	8.2	Batman - Poczatek (2005)	304,949
115	8.2	Lowca androidów (1982)	204,649
116	8.2	General (1926)	22,830
117	8.2	Fargo (1996)	182,819
118	8.2	Goraczka (1995)	163,811
119	8.2	Szczeki (1975)	156,166
120	8.2	Hotel Ruanda (2004)	105,429
121	8.2	Za kilka dolarów wiecej (1965)	52,315
122	8.2	Straz przyboczna (1961)	32,965
123	8.2	To nie jest kraj dla starych ludzi (2007)	228,640
124	8.2	Grobowiec swietlików (1988)	40,781
125	8.2	Dotyk zla (1958)	36,155
126	8.2	Ran (1985)	38,219
127	8.2	Czarnoksieznik z krainy Oz (1939)	116,157
128	8.2	Swiadek oskarzenia (1957)	20,779
129	8.2	Slumdog, milioner z ulicy (2008)	210,144
130	8.2	Przekret (2000)	200,682
131	8.2	Tam, gdzie rosna poziomki (1957)	24,536
132	8.2	Król lew (1994)	165,145
133	8.2	Szósty zmysl (1999)	269,637
134	8.2	Lowca jeleni (1978)	98,818
135	8.2	Big Lebowski (1998)	203,824
136	8.2	Annie Hall (1977)	73,572
137	8.2	Nieugiety Luke (1967)	51,303
138	8.2	Nieznajomi z pociagu (1951)	39,008
139	8.2	Donnie Darko (2001)	238,980
140	8.2	Ich noce (1934)	28,269
141	8.2	W samo poludnie (1952)	38,128
142	8.2	Kill Bill (2003)	263,769
143	8.2	Toy Story (1995)	180,562
144	8.2	Pluton (1986)	122,787
145	8.2	Wszystko za zycie (2007)	124,589
146	8.1	Dystrykt 9 (2009)	188,146
147	8.1	Az poleje sie krew (2007)	149,840
148	8.1	Za wszelka cene (2004)	164,306
149	8.1	Oslawiona (1946)	34,922
150	8.1	Goraczka zlota (1925)	24,418
151	8.1	Butch Cassidy i Sundance Kid (1969)	64,643
152	8.1	Czlowiek z blizna (1983)	175,153
153	8.1	Trainspotting (1996)	170,505
154	8.1	Przeminelo z wiatrem (1939)	89,355
155	8.1	Wschód slonca (1927)	13,223
156	8.1	Grona gniewu (1940)	26,373
157	8.1	Dzien swistaka (1993)	156,375
158	8.1	Ben Hur (1959)	65,956
159	8.1	Brzdac (1921)	17,599
160	8.1	Amores perros (2000)	69,239
161	8.1	Wielki sen (1946)	31,956
162	8.1	Przezylismy wojne (1962)	37,833
163	8.1	Absolwent (1967)	87,699
164	8.1	Pietno smierci (1952)	18,416
165	8.1	Zywot Briana (1979)	107,189
166	8.1	Cena strachu (1953)	16,155
167	8.1	Gdzie jest Nemo? (2003)	194,286
168	8.1	Terminator (1984)	204,074
169	8.1	Sekret jej oczu (2009)	30,474
170	8.1	Porachunki (1998)	144,988
171	8.1	Zapasnik (2008)	114,081
172	8.1	Najlepsze lata naszego zycia (1946)	19,253
173	8.1	Kasyno (1995)	124,499
174	8.1	Cos (1982)	91,374
175	8.1	Ultimatum Bourne'a (2007)	170,824
176	8.1	Avatar (2009)	320,529
177	8.1	Stan przy mnie (1986)	101,386
178	8.1	Dwanascie malp (1995)	190,717
179	8.1	Jak wytresowac smoka (2010)	74,871
180	8.1	Pieskie popoludnie (1975)	68,054
181	8.1	V jak vendetta (2006)	260,908
182	8.1	Widmo (1955)	17,086
183	8.1	Gandhi (1982)	58,209
184	8.1	Ratatuj (2007)	156,353
185	8.1	Mój sasiad Totoro (1988)	37,784
186	8.1	Wyrok w Norymberdze (1961)	16,497
187	8.1	Osiem i pól (1963)	33,619
188	8.1	Noc mysliwego (1955)	29,016
189	8.0	Buntownik z wyboru (1997)	173,764
190	8.0	Narzeczona ksiecia (1987)	134,390
191	8.0	Siec (1976)	39,684
192	8.0	Bitwa o Algier (1966)	15,926
193	8.0	Czterysta batów (1959)	27,361
194	8.0	Zabójstwo (1956)	27,976
195	8.0	Star Trek (2009)	159,936
196	8.0	The Social Network (2010)	122,111
197	8.0	Bilardzista (1961)	28,386
198	8.0	La strada (1954)	20,162
199	8.0	Kto sie boi Virginii Woolf? (1966)	23,047
200	8.0	Persona (1966)	19,294
201	8.0	Mary and Max (2009)	21,849
202	8.0	M jak morderstwo (1954)	34,791
203	8.0	Motyl i skafander (2007)	37,133
204	8.0	Iniemamocni (2004)	183,855
205	8.0	Egzorcysta (1973)	119,954
206	8.0	Tramwaj zwany pozadaniem (1951)	38,103
207	8.0	Dzika banda (1969)	34,706
208	8.0	Stalag 17 (1953)	22,724
209	8.0	Najpierw strzelaj, potem zwiedzaj (2008)	117,142
210	8.0	Meczenstwo Joanny d'Arc (1928)	12,608
211	8.0	Na Zachodzie bez zmian (1930)	24,247
212	8.0	Szlachectwo zobowiazuje (1949)	14,790
213	8.0	Rocky (1976)	115,455
214	8.0	Fanny i Aleksander (1982)	16,525
215	8.0	Pozwól mi wejsc (2008)	73,301
216	8.0	Ed Wood (1994)	82,229
217	8.0	Barry Lyndon (1975)	44,330
218	8.0	Duza ryba (2003)	160,658
219	8.0	Rzeka tajemnic (2003)	136,882
220	8.0	Ludzkie dzieci (2006)	179,665
221	8.0	Magnolia (1999)	132,549
222	8.0	Truman Show (1998)	184,390
223	8.0	Dziecko Rosemary (1968)	59,535
224	8.0	Noce Cabirii (1957)	13,287
225	8.0	Manhattan (1979)	43,432
226	8.0	Festen (1998)	29,981
227	8.0	Infernal Affairs: Piekielna gra (2002)	40,152
228	8.0	Ruchomy zamek Hauru (2004)	54,465
229	8.0	Sherlock Jr. (1924)	8,824
230	8.0	Kill Bill 2 (2004)	208,552
231	8.0	Rzymskie wakacje (1953)	35,599
232	8.0	Patton (1970)	43,586
233	8.0	Piraci z Karaibów: Klatwa Czarnej Perly (2003)	270,185
234	8.0	Sznur (1948)	36,503
235	8.0	Kacza zupa (1933)	29,707
236	8.0	Dziewczyna Pietaszek (1940)	23,078
237	8.0	Listy z Iwo Jimy (2006)	66,206
238	8.0	Detektyw (1972)	19,958
239	8.0	Czlowiek, który zabil Liberty Valance'a (1962)	25,386
240	8.0	Harvey (1950)	26,064
241	8.0	Arszenik i stare koronki (1944)	33,051
242	8.0	Potwory i spólka (2001)	139,459
243	8.0	Trzy kolory: Czerwony (1994)	27,359
244	8.0	Wiosna, lato, jesien, zima... i wiosna (2003)	21,765
245	8.0	Wyspa tajemnic (2010)	155,593
246	8.0	Filadelfijska opowiesc (1940)	30,448
247	8.0	Piekna i bestia (1991)	82,592
248	8.0	Rain Man (1988)	121,002
249	8.0	Anatomia morderstwa (1959)	18,252
250	8.0	Yip Man (2008)	21,848